id,brand_name,product_name,sku,original_price,recieve_date,exp_date,image_urls
34,brand_13,product_16,754,728.95,2020-12-16,2021-08-11,product[object Object]
35,brand_16,product_18,271,696.61,2020-03-21,2021-02-26,product[object Object]
36,brand_28,product_36,839,28.86,2020-05-04,2021-09-02,product[object Object]
37,brand_44,product_6,813,965.55,2020-02-02,2021-05-13,product[object Object]
38,brand_16,product_37,859,321.11,2020-02-27,2021-12-01,product[object Object]
39,brand_0,product_41,207,348.73,2020-09-05,2021-05-19,product[object Object]
40,brand_38,product_5,469,153.11,2020-06-10,2021-04-15,product[object Object]
41,brand_27,product_44,834,943.06,2020-01-09,2021-02-19,product[object Object]
42,brand_13,product_48,941,659.52,2020-06-03,2021-03-25,product[object Object]
43,brand_33,product_21,285,274.82,2020-10-21,2021-03-23,product[object Object]
44,brand_23,product_4,107,134.26,2020-01-02,2021-08-08,product[object Object]
45,brand_30,product_13,411,503.63,2020-04-27,2021-05-03,product[object Object]
46,brand_32,product_48,991,935.78,2020-05-20,2021-05-03,product[object Object]
47,brand_31,product_19,60,712.91,2020-02-28,2021-11-16,product[object Object]
48,brand_31,product_46,689,5.53,2020-04-05,2021-05-27,product[object Object]
49,brand_30,product_3,348,391.45,2020-02-06,2021-04-21,product[object Object]
50,brand_36,product_44,391,746,2020-05-07,2021-05-26,product[object Object]
51,brand_15,product_21,156,696.36,2020-02-10,2021-04-09,product[object Object]
52,brand_49,product_21,31,317.01,2020-08-02,2021-12-11,product[object Object]
53,brand_0,product_19,967,485.59,2020-02-19,2021-10-26,product[object Object]
54,brand_9,product_20,146,445.24,2020-10-25,2021-07-13,product[object Object]
55,brand_34,product_20,672,91.58,2020-07-12,2021-05-01,product[object Object]
56,brand_44,product_17,328,84.23,2020-04-10,2021-10-27,product[object Object]
57,brand_6,product_28,763,444.45,2020-03-15,2021-08-02,product[object Object]
58,brand_14,product_27,970,207.9,2020-07-23,2021-06-14,product[object Object]
59,brand_20,product_8,586,610.78,2020-11-17,2021-06-13,product[object Object]
60,brand_18,product_31,754,979.54,2020-05-22,2021-01-12,product[object Object]
61,brand_42,product_23,154,909.7,2020-01-03,2021-02-12,product[object Object]
62,brand_8,product_9,790,563.7,2020-01-16,2021-11-02,product[object Object]
63,brand_36,product_18,54,59.07,2020-09-28,2021-11-19,product[object Object]
64,brand_31,product_46,139,375.48,2020-12-31,2021-09-14,product[object Object]
65,brand_47,product_8,230,132.5,2020-11-26,2021-10-19,product[object Object]
66,brand_26,product_19,581,814.35,2020-04-20,2021-02-06,product[object Object]
67,brand_2,product_21,761,767.68,2020-11-29,2021-05-03,product[object Object]
68,brand_49,product_34,832,265.14,2020-08-05,2021-07-29,product[object Object]
69,brand_44,product_35,531,176.07,2020-02-15,2021-08-07,product[object Object]
70,brand_19,product_2,579,485.91,2020-03-25,2021-06-23,product[object Object]
71,brand_40,product_24,506,440.89,2020-04-19,2021-01-29,product[object Object]
72,brand_8,product_13,182,32.53,2020-12-09,2021-10-22,product[object Object]
73,brand_3,product_8,378,562.26,2020-11-23,2021-07-18,product[object Object]
74,brand_4,product_30,922,20.73,2020-08-18,2021-11-06,product[object Object]
75,brand_33,product_17,712,742.7,2020-04-16,2021-11-08,product[object Object]
76,brand_24,product_3,612,721.4,2020-11-18,2021-01-12,product[object Object]
77,brand_18,product_7,711,440.99,2020-03-29,2021-10-16,product[object Object]
78,brand_16,product_17,781,270.69,2020-12-23,2021-01-16,product[object Object]
79,brand_18,product_26,104,729.14,2020-04-10,2021-04-13,product[object Object]
80,brand_28,product_1,939,646.89,2020-08-24,2021-02-24,product[object Object]
81,brand_3,product_28,847,602.34,2020-07-31,2021-11-26,product[object Object]
82,brand_25,product_31,716,407.73,2020-02-07,2021-05-18,product[object Object]
83,brand_41,product_34,311,711.77,2020-09-24,2021-02-24,product[object Object]
84,brand_37,product_30,695,51.21,2020-02-26,2021-05-07,product[object Object]
85,brand_15,product_5,654,101.97,2020-07-05,2021-06-07,product[object Object]
86,brand_32,product_13,625,385.42,2020-02-29,2021-03-17,product[object Object]
87,brand_13,product_4,747,829.86,2020-05-27,2021-04-03,product[object Object]
88,brand_42,product_47,596,838.18,2020-08-02,2021-09-03,product[object Object]
89,brand_45,product_6,331,162.88,2020-01-15,2021-01-15,product[object Object]
90,brand_16,product_2,688,575.84,2020-01-06,2021-09-14,product[object Object]
91,brand_38,product_0,639,77.8,2020-05-08,2021-01-03,product[object Object]
92,brand_21,product_11,719,676.03,2020-11-18,2021-12-18,product[object Object]
93,brand_8,product_29,669,946.9,2020-04-06,2021-10-18,product[object Object]
94,brand_33,product_19,984,59.45,2020-01-05,2021-12-19,product[object Object]
95,brand_16,product_4,413,515.79,2020-08-06,2021-01-01,product[object Object]
96,brand_37,product_21,399,449.97,2020-01-26,2021-01-26,product[object Object]
97,brand_4,product_48,323,274.2,2020-09-21,2021-12-31,product[object Object]
98,brand_33,product_34,35,921.46,2020-05-14,2021-04-09,product[object Object]
99,brand_23,product_22,479,694.76,2020-12-23,2021-10-03,product[object Object]
100,brand_42,product_4,676,420.99,2020-07-29,2021-03-16,product[object Object]
